organization organization_new
"univ technol rwth aachen" "technol rwth aachen univ"
"univ clin wurzburg" "wurzburg univ"
"stuttgart univ appl sci" "stuttgart appl sci univ"
"univ hosp neurol" "heidelberg univ"
"julius maximilians univ" "julius maximilians univ"
"georg august univ" "gottingen univ"
"univ med ctr gottingen" "gottingen univ"
"furtwangen univ appl sci" "furtwangen appl sci univ"
fernuniv "fern univ"
"univ bundeswehr munchen" "bundeswehr munchen univ"
"bonn rhein sieg univ appl sci" "bonn rhein sieg appl sci univ"
"univ appl sci braunschweig wolfenbuettel" "appl sci braunschweig wolfenbuettel univ"
"tu dortmund univ" "tu dortmund univ"
"clausthal univ" "clausthal univ"
"univ appl sci konstanz" "appl sci konstanz univ"
"childrens univ hosp" "freiburg univ"
"rwth univ hosp" "rwth hosp univ"
"univ appl sci htw" "appl sci htw univ"
"univ suttgart" "suttgart univ"
"zeppelin univ" "zeppelin univ"
"charite univ clin berlin" "hosp charite univ"
"univ klinikum carl gustav carus" "tech dresden univ"
"univ hosp heidelberg" "heidelberg univ"
"univ hosp luebeck" "lubeck univ"
"univ clin regensburg" "regensburg univ"
"med univ wuerzburg" "wurzburg univ"
"biederstein & tech univ" "biederstein tech univ"
"berlin univ med" "berlin med univ"
"univ giessen & marburg" "giessen marburg univ"
"univ clin" "clin univ"
"univ frankfurt hosp" "frankfurt hosp univ"
"clin johann wolfgang goethe univ" "clin johann wolfgang goethe univ"
"rheinmain univ appl sci" "rheinmain appl sci univ"
"univ med ctr heidelberg" "heidelberg univ"
"leipzig univ hosp" "leipzig hosp univ"
"univ hosp schleswig holstein campus" "hosp schleswig holstein univ"
"schleswig holstein univ clin" "schleswig holstein clin univ"
"freiberg univ min & technol" "freiberg min technol univ"
"jw goethe univ frankfurt" "goethe frankfurt univ"
"goethe univ frankfurt main" "goethe frankfurt main univ"
"bamberg univ" "bamberg univ"
"univ bamberg" "bamberg univ"
"fernuniv hagen" "hagen univ"
"tum munich univ technol" "tum munich technol univ"
"helmut schmidt univ univ fed armed forces" "helmut schmidt fed armed forces univ"
"munich univ appl sci" "munich appl sci univ"
"univ appl sci deggendorf" "appl sci deggendorf univ"
"univ appl sci dresden" "appl sci dresden univ"
"helmut schmidt univ" "helmut schmidt univ"
"univ appl sci saarland" "appl sci saarland univ"
"darmstadt univ appl sci" "tech darmstadt univ"
"westcoast univ appl sci" "westcoast appl sci univ"
"univ appl sci munich" "appl sci munich univ"
"univ med clin" "med clin univ"
"univ hosp hannover" "hosp hannover univ"
"tech univ bergakad freiberg" "tech bergakad freiberg univ"
"univ appl sci emden leer" "appl sci emden leer univ"
"univ appl sci wildau berlin" "appl sci wildau berlin univ"
"univ appl sci wilhelmshaven oldenburg elsfleth" "appl sci wilhelmshaven oldenburg elsfleth univ"
"univ appl sci gelsenkirchen" "appl sci gelsenkirchen univ"
"univ appl sci bielefeld" "appl sci bielefeld univ"
