organization organization_new
"univ med ctr hambrug eppendorf" "med ctr hambrug eppendorf univ"
"univ med ctr schleswig holstein kiel" "med ctr schleswig holstein kiel univ"
"univ med sch" "med sch univ"
"univ med sch schleswig holstein" "med sch schleswig holstein univ"
"univ munich campus grosshadern" "munich campus grosshadern univ"
"univ munich grosshaden" "munich grosshaden univ"
"univ munich klinikum" "munich klinikum univ"
"univ observ jena" "observ jena univ"
"univ observ munich" "observ munich univ"
"univ observ munich usm" "observ munich usm univ"
"univ outpatient clin potsdam" "outpatient clin potsdam univ"
"univ pediat hosp" "pediat hosp univ"
"univ regensberg" "regensberg univ"
"univ regensburg hosp" "regensburg hosp univ"
"univ rostock ev" "rostock ev univ"
"univ saarbruecken" "saarbruecken univ"
"univ saarlands" "saarlands univ"
"univ siegen chem biol fb 8" "siegen chem biol fb univ"
"univ sternwarte" "sternwarte univ"
"univ sternwarte jena" "sternwarte jena univ"
"univ sternwarte muenchen" "sternwarte muenchen univ"
"univ sternwarte munchen" "sternwarte munchen univ"
"univ sternwarte munich" "sternwarte munich univ"
"univ stuttgart itw" "stuttgart itw univ"
"univ technol carolo wilhelmina braunschweig" "technol carolo wilhelmina braunschweig univ"
"univ technol dortmund" "technol dortmund univ"
"univ technol tuhh" "technol tuhh univ"
"univ witten" "witten univ"
"univ womens hosp" "womens hosp univ"
"univ zahnklin mainz" "zahnklin mainz univ"
"univ zoln" "zoln univ"
univet "et univ"
"urol univ klin" "urol klin univ"
"urol univ klin & poliklinik" "urol klin poliklinik univ"
"urol univ klin dusseldorf" "urol klin dusseldorf univ"
"urol univ klin heidelberg" "urol klin heidelberg univ"
"urol univ klin mannheim" "urol klin mannheim univ"
"w german protontherapy ctr univ essen" "w german protontherapy ctr essen univ"
"weatfaelian wilhelms univ muenster" "weatfaelian wilhelms muenster univ"
"weihenstephan triesdorf univ appl sci" "weihenstephan triesdorf appl sci univ"
"wildau univ appl sci" "wildau appl sci univ"
"wilhelms univ muenster" "wilhelms muenster univ"
"wuerzburg univ" "wuerzburg univ"
"zahedan univ med sci" "zahedan med sci univ"
"zentrum biochem & mol zellbiol univ med" "zentrum biochem mol zellbiol med univ"
"zeppelin univ friedrichshafen" "zeppelin friedrichshafen univ"
